country,year,item,r,n,survey,cc_rank
United States,1962,l_defect2,1,1033,gallup_us196208,880
United States,1962,l_defect2,2,1847,gallup_us196208,880
United States,1962,l_health2,1,528,gallup_us196208,880
United States,1962,l_health2,2,2571,gallup_us196208,880
United States,1962,l_poor2,1,2473,gallup_us196208,880
United States,1962,l_poor2,2,512,gallup_us196208,880
United States,1965,l_defect2,1,1133,gallup_us196512,880
United States,1965,l_defect2,2,1920,gallup_us196512,880
United States,1965,l_health2,1,553,gallup_us196512,880
United States,1965,l_health2,2,2715,gallup_us196512,880
United States,1965,l_poor2,1,2545,gallup_us196512,880
United States,1965,l_poor2,2,650,gallup_us196512,880
United States,1969,l_defect2,1,403.82978723404256,gallup_us196909,880
United States,1969,l_defect2,2,972.2340425531917,gallup_us196909,880
United States,1969,l_health2,1,235.56737588652484,gallup_us196909,880
United States,1969,l_health2,2,1224.3971631205675,gallup_us196909,880
United States,1969,l_nomore2,1,1211.4893617021278,gallup_us196909,880
United States,1969,l_nomore2,2,226.80851063829786,gallup_us196909,880
United States,1969,l_poor2,1,1039.0780141843973,gallup_us196909,880
United States,1969,l_poor2,2,360.0354609929078,gallup_us196909,880
United States,1972,l_defect2,1,326.99666251029606,usgss,880
United States,1972,l_defect2,2,1198.9877625377521,usgss,880
United States,1972,l_health2,1,200.99794851550308,usgss,880
United States,1972,l_health2,2,1337.9863438494683,usgss,880
United States,1972,l_ncca4,1,281.26275497894505,anes_combo,880
United States,1972,l_ncca4,2,1175.7548498949777,anes_combo,880
United States,1972,l_ncca4,3,434.3309209538811,anes_combo,880
United States,1972,l_ncca4,4,614.186015974431,anes_combo,880
United States,1972,l_nomore2,1,920.9905999143201,usgss,880
United States,1972,l_nomore2,2,606.9938047209471,usgss,880
United States,1972,l_poor2,1,771.9921206665093,usgss,880
United States,1972,l_poor2,2,734.992498302959,usgss,880
United States,1972,l_rape2,1,315.9967747805919,usgss,880
United States,1972,l_rape2,2,1195.9877931569238,usgss,880
United States,1972,l_single2,1,847.9913449808289,usgss,880
United States,1972,l_single2,2,653.9933250205921,usgss,880
United States,1973,l_defect2,1,226.99768314934926,usgss,880
United States,1973,l_defect2,2,1236.987374694912,usgss,880
United States,1973,l_health2,1,113.99883647147935,usgss,880
United States,1973,l_health2,2,1361.9860988960954,usgss,880
United States,1973,l_nomore2,1,759.9922431431958,usgss,880
United States,1973,l_nomore2,2,692.9929269713614,usgss,880
United States,1973,l_poor2,1,677.9930800672194,usgss,880
United States,1973,l_poor2,2,777.9920594281662,usgss,880
United States,1973,l_rape2,1,238.99756067266287,usgss,880
United States,1973,l_rape2,2,1211.9876298546753,usgss,880
United States,1973,l_single2,1,737.9924676837874,usgss,880
United States,1973,l_single2,2,711.9927330499412,usgss,880
United States,1974,l_defect2,1,213.99781583242617,usgss,880
United States,1974,l_defect2,2,1225.9874869652078,usgss,880
United States,1974,l_health2,1,109.99887729704149,usgss,880
United States,1974,l_health2,2,1341.9863030239062,usgss,880
United States,1974,l_nomore2,1,748.9923554134916,usgss,880
United States,1974,l_nomore2,2,661.9932433694678,usgss,880
United States,1974,l_poor2,1,640.993457703669,usgss,880
United States,1974,l_poor2,2,775.9920798409472,usgss,880
United States,1974,l_rape2,1,191.99804037301786,usgss,880
United States,1974,l_rape2,2,1227.9874665524267,usgss,880
United States,1974,l_single2,1,708.9927636691128,usgss,880
United States,1974,l_single2,2,710.9927432563318,usgss,880
United States,1975,l_defect2,1,241.99753005349126,usgss,880
United States,1975,l_defect2,2,1195.9877931569238,usgss,880
United States,1975,l_health2,1,134.99862213727818,usgss,880
United States,1975,l_health2,2,1313.986588802841,usgss,880
United States,1975,l_nomore2,1,773.9921002537283,usgss,880
United States,1975,l_nomore2,2,651.9933454333732,usgss,880
United States,1975,l_poor2,1,662.9932331630773,usgss,880
United States,1975,l_poor2,2,752.9923145879294,usgss,880
United States,1975,l_rape2,1,231.9976321173966,usgss,880
United States,1975,l_rape2,2,1189.987854395267,usgss,880
United States,1975,l_single2,1,731.9925289221306,usgss,880
United States,1975,l_single2,2,681.9930392416572,usgss,880
United States,1976,l_defect2,1,233.99761170461554,usgss,880
United States,1976,l_defect2,2,1222.9875175843795,usgss,880
United States,1976,l_health2,1,134.99862213727818,usgss,880
United States,1976,l_health2,2,1328.986435706983,usgss,880
United States,1976,l_ncca4,1,242.51737546653936,anes_combo,880
United States,1976,l_ncca4,2,995.4214168557563,anes_combo,880
United States,1976,l_ncca4,3,362.1018801344582,anes_combo,880
United States,1976,l_ncca4,4,591.7041290968623,anes_combo,880
United States,1976,l_nomore2,1,778.9920492217756,usgss,880
United States,1976,l_nomore2,2,667.9931821311246,usgss,880
United States,1976,l_poor2,1,672.993131099172,usgss,880
United States,1976,l_poor2,2,760.9922329368052,usgss,880
United States,1976,l_rape2,1,234.99760149822498,usgss,880
United States,1976,l_rape2,2,1204.987701299409,usgss,880
United States,1976,l_single2,1,714.9927024307697,usgss,880
United States,1976,l_single2,2,722.9926207796454,usgss,880
United States,1977,l_any2,1,920.9905999143201,usgss,880
United States,1977,l_any2,2,557.9943048340832,usgss,880
United States,1977,l_defect2,1,215.9977954196451,usgss,880
United States,1977,l_defect2,2,1270.987027677634,usgss,880
United States,1977,l_doctor2,1,351.95460139134696,cbsnyt197710,880
United States,1977,l_doctor2,2,1194.0657208132889,cbsnyt197710,880
United States,1977,l_health2,1,140.99856089893498,usgss,880
United States,1977,l_health2,2,1346.9862519919534,usgss,880
United States,1977,l_nomore2,1,781.992018602604,usgss,880
United States,1977,l_nomore2,2,679.9930596544383,usgss,880
United States,1977,l_poor2,1,688.9929677969235,usgss,880
United States,1977,l_poor2,2,788.9919471578703,usgss,880
United States,1977,l_rape2,1,237.9975708790534,usgss,880
United States,1977,l_rape2,2,1230.9874359332553,usgss,880
United States,1977,l_single2,1,732.9925187157401,usgss,880
United States,1977,l_single2,2,725.9925901604738,usgss,880
United States,1978,l_any2,1,989.9898956733733,usgss,880
United States,1978,l_any2,2,493.9949580430772,usgss,880
United States,1978,l_defect2,1,269.99724427455635,usgss,880
United States,1978,l_defect2,2,1226.9874767588174,usgss,880
United States,1978,l_health2,1,139.99857110532554,usgss,880
United States,1978,l_health2,2,1351.9862009600008,usgss,880
United States,1978,l_ncca4,1,228.64557292506078,anes_combo,880
United States,1978,l_ncca4,2,933.7158124471101,anes_combo,880
United States,1978,l_ncca4,3,352.056781742353,anes_combo,880
United States,1978,l_ncca4,4,577.8323265553837,anes_combo,880
United States,1978,l_nomore2,1,884.9909673443792,usgss,880
United States,1978,l_nomore2,2,597.9938965784619,usgss,880
United States,1978,l_poor2,1,772.9921104601189,usgss,880
United States,1978,l_poor2,2,695.9928963521897,usgss,880
United States,1978,l_rape2,1,248.99745860875754,usgss,880
United States,1978,l_rape2,2,1231.9874257268646,usgss,880
United States,1978,l_single2,1,866.9911510594088,usgss,880
United States,1978,l_single2,2,605.9938149273377,usgss,880
United States,1979,l_doctor2,1,386.8050900568514,cbsnyt197911,880
United States,1979,l_doctor2,2,940.3594945610658,cbsnyt197911,880
United States,1980,l_any2,1,827.9915491086396,usgss,880
United States,1980,l_any2,2,577.9941007062725,usgss,880
United States,1980,l_defect2,1,239.99755046627234,usgss,880
United States,1980,l_defect2,2,1178.987966665563,usgss,880
United States,1980,l_doctor2,1,1289.190778264797,"cbsnyt198008, usap198009, usap198010",880
United States,1980,l_doctor2,2,4704.483575253895,"cbsnyt198008, usap198009, usap198010",880
United States,1980,l_health2,1,140.99856089893498,usgss,880
United States,1980,l_health2,2,1287.9868541689948,usgss,880
United States,1980,l_ncca4,1,297.526247613782,"anes_combo, anes_combo",880
United States,1980,l_ncca4,2,1066.6937816378359,"anes_combo, anes_combo",880
United States,1980,l_ncca4,3,515.6483841280659,"anes_combo, anes_combo",880
United States,1980,l_ncca4,4,903.1021792521228,"anes_combo, anes_combo",880
United States,1980,l_nomore2,1,743.9924064454442,usgss,880
United States,1980,l_nomore2,2,662.9932331630773,usgss,880
United States,1980,l_poor2,1,679.9930596544383,usgss,880
United States,1980,l_poor2,2,727.9925697476928,usgss,880
United States,1980,l_rape2,1,233.99761170461554,usgss,880
United States,1980,l_rape2,2,1176.9879870783438,usgss,880
United States,1980,l_single2,1,723.9926105732549,usgss,880
United States,1980,l_single2,2,679.9930596544383,usgss,880
United States,1981,just10,1,958.5571588602046,wvs_combo,880
United States,1981,just10,2,131.12404222815127,wvs_combo,880
United States,1981,just10,3,159.41116292136562,wvs_combo,880
United States,1981,just10,4,118.72229965821984,wvs_combo,880
United States,1981,just10,5,430.7166998163821,wvs_combo,880
United States,1981,just10,6,107.15662962109279,wvs_combo,880
United States,1981,just10,7,95.7303050060998,wvs_combo,880
United States,1981,just10,8,116.0747366376727,wvs_combo,880
United States,1981,just10,9,57.68900476350119,wvs_combo,880
United States,1981,just10,10,102.69757611280284,wvs_combo,880
United States,1981,l_doctor2,1,646.7286407021027,"cbsnyt198105, cbsnyt198106",880
United States,1981,l_doctor2,2,1887.3000924134894,"cbsnyt198105, cbsnyt198106",880
United States,1982,a_defect2,1,817.9503303420937,evs_combo,880
United States,1982,a_defect2,2,1245.9638245997717,evs_combo,880
United States,1982,a_health2,1,254.43367974185207,evs_combo,880
United States,1982,a_health2,2,1934.4350496801928,evs_combo,880
United States,1982,a_nomore2,1,1602.278318422723,evs_combo,880
United States,1982,a_nomore2,2,522.9353414586503,evs_combo,880
United States,1982,a_single2,1,1526.807913822552,evs_combo,880
United States,1982,a_single2,2,524.2020946557651,evs_combo,880
United States,1982,just10,1,1004.0851406680495,evs_combo,880
United States,1982,just10,2,134.7279072333183,evs_combo,880
